time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-10-19T13:50:41.620Z,13.8654,120.6172,106,5.8,mww,,28,8.33,0.97,us,us10003pnb,2022-08-01T12:24:42.970Z,"2 km W of Balitoc, Philippines",earthquake,7.5,1.8,,,reviewed,us,us
2015-08-09T04:49:50.610Z,13.4771,120.5114,90.65,5,mb,,94,4.051,0.57,us,us100030i8,2022-07-31T23:01:23.074Z,"8 km NE of Paluan, Philippines",earthquake,10.3,4,0.055,108,reviewed,us,us
2015-07-05T12:56:47.600Z,17.972,120.6844,13.14,5.2,mww,,44,4.835,0.83,us,us10002nih,2022-07-31T16:51:51.170Z,"3 km ESE of Espiritu, Philippines",earthquake,5.8,2.9,,,reviewed,us,us
2015-06-13T05:03:43.720Z,13.8112,120.6866,137.22,5,mb,,30,3.726,0.89,us,us20002pl7,2022-07-31T12:49:07.060Z,"4 km SSW of Hukay, Philippines",earthquake,8.8,5,0.054,111,reviewed,us,us
2015-02-10T16:09:24.080Z,14.0028,120.6226,134.89,5.1,mb,,29,0.32,0.8,us,usc000tnp2,2022-07-27T20:14:10.330Z,"3 km W of Prinza, Philippines",earthquake,6.1,4,0.042,187,reviewed,us,us
2015-02-02T15:13:39.750Z,13.9766,124.5783,17,5.4,mwb,,76,3.536,1.39,us,usc000tkzl,2022-07-27T18:31:10.888Z,"29 km NE of Gigmoto, Philippines",earthquake,7.9,1.8,0.043,53,reviewed,us,us
2015-01-18T00:27:22.200Z,13.9268,120.6895,149.83,5.3,mb,,34,8.85,0.69,us,usc000tgvr,2015-04-20T16:05:33.040Z,"3 km ESE of Bungahan, Philippines",earthquake,7.9,4.9,0.045,170,reviewed,us,us
2015-01-17T05:09:21.120Z,13.9467,120.641,145.98,5.3,mb,,40,8.965,0.77,us,usc000tgpb,2022-07-27T15:08:08.888Z,"2 km W of Bungahan, Philippines",earthquake,9,5.2,0.062,92,reviewed,us,us
2015-01-10T19:32:00.320Z,14.7709,120.2456,59,5.9,mww,,21,8.042,0.72,us,usc000tejf,2022-08-07T07:20:25.296Z,"5 km NW of Mabayo, Philippines",earthquake,7.4,1,,,reviewed,us,us
2014-12-31T09:26:22.450Z,13.7483,120.6673,110,5.5,mwb,,30,8.78,0.96,us,usc000taxu,2022-07-27T12:08:36.281Z,"10 km SSE of Calatagan, Philippines",earthquake,8.3,1.9,0.05,39,reviewed,us,us
2014-12-16T17:06:41.170Z,15.9963,120.0729,56.95,5,mb,,38,6.851,0.78,us,usc000t7e2,2022-07-27T10:42:25.832Z,"Luzon, Philippines",earthquake,8.6,6.6,0.059,95,reviewed,us,us
2014-10-19T18:14:30.700Z,14.2324,124.4802,52.56,5,mb,,56,3.439,1.13,us,usb000sp13,2015-01-15T20:03:34.040Z,"39 km ENE of Pandan, Philippines",earthquake,8.6,5.3,0.056,108,reviewed,us,us
2014-10-03T08:05:44.270Z,11.3267,122.1187,19.45,5.5,mwb,,39,2.99,0.64,us,usb000sif9,2022-07-27T03:56:17.434Z,"7 km E of San Francisco, Philippines",earthquake,6.8,3.1,0.075,17,reviewed,us,us
2014-09-26T16:16:03.080Z,13.7046,124.4449,48.05,5,mb,,106,3.429,1,us,usb000sget,2022-05-03T17:02:41.672Z,"10 km SE of Gigmoto, Philippines",earthquake,8.6,6.5,0.077,58,reviewed,us,us
2014-09-03T13:43:58.310Z,15.1713,122.4347,10,5.2,mb,,37,1.797,0.78,us,usc000s99e,2022-07-27T00:33:17.809Z,"47 km ENE of Karligan, Philippines",earthquake,6.9,1.7,0.047,173,reviewed,us,us
2014-07-01T09:11:23.350Z,13.8691,119.1915,34.4,5,mb,,36,1.709,0.64,us,usc000rp53,2014-09-26T11:49:51.000Z,"92 km W of Cabra, Philippines",earthquake,,3.4,0.05,130,reviewed,us,us
2014-06-25T11:52:03.030Z,13.5968,120.6535,73.41,5.4,mww,,34,0.572,0.99,us,usc000rltb,2022-08-07T00:21:42.859Z,"17 km NNW of Wawa, Philippines",earthquake,,2.1,,,reviewed,us,us
2014-04-21T20:45:21.150Z,17.3775,119.9499,9.48,5.4,mwb,,18,0.512,0.86,us,usb000pt1q,2022-07-26T13:27:54.415Z,"47 km WSW of Fuerte, Philippines",earthquake,,2.8,0.048,41,reviewed,us,us
2014-01-26T17:57:47.560Z,13.5132,121.8534,45.48,5.1,mb,,66,1.065,0.82,us,usb000m8fx,2022-07-26T06:05:31.561Z,"2 km SW of Balanacan, Philippines",earthquake,,5.5,0.066,78,reviewed,us,us
2013-09-27T08:03:17.950Z,14.42,119.0733,29.65,5.2,mb,,37,8.566,0.73,us,usb000k0w4,2013-12-13T09:00:34.000Z,"120 km WNW of Cabra, Philippines",earthquake,,3.5,0.045,,reviewed,us,us
2013-05-30T02:24:17.070Z,17.7,120.864,19.9,5.1,mwb,217,74,,1.03,us,usb000h8y3,2022-07-25T03:45:39.187Z,"17 km ENE of Dolores, Philippines",earthquake,,3.3,,,reviewed,us,us
2013-05-01T05:37:59.000Z,14.92,123.325,28.2,5.3,mb,126,53,,1.01,us,usb000gjgt,2014-11-07T01:50:42.017Z,"89 km NNE of Sabang Indan, Philippines",earthquake,,3.7,,134,reviewed,us,us
2013-04-04T02:27:07.050Z,15.852,121.702,47.4,5.1,mb,216,49.6,,0.96,us,usb000fzgv,2022-07-24T22:25:58.354Z,"19 km ENE of Suklayin, Philippines",earthquake,,4.4,,138,reviewed,us,us
2012-11-23T04:52:40.050Z,14.069,120.708,208.6,5.1,mb,289,26.7,,0.62,us,usp000jvz7,2014-11-07T01:49:25.708Z,"0 km NNW of Sabang, Philippines",earthquake,,2.5,,111,reviewed,us,us
2012-10-04T01:55:21.710Z,13.249,120.664,77.2,5.1,mb,165,78.2,,0.81,us,usp000jtgr,2022-05-03T15:51:21.493Z,"7 km ENE of Mamburao, Philippines",earthquake,,4.7,,83,reviewed,us,us
2012-09-29T14:12:01.540Z,13.847,120.723,154,5,mb,109,43.2,,0.85,us,usp000jt8e,2015-03-24T01:33:00.197Z,"2 km E of Hukay, Philippines",earthquake,,5.4,,47,reviewed,us,us
2012-06-16T22:18:47.470Z,15.593,119.563,28,5.9,mww,420,12,,1.09,us,usp000jmv2,2022-05-03T15:42:37.241Z,"37 km WSW of Bolitoc, Philippines",earthquake,,,,,reviewed,us,us
2012-03-08T20:03:17.230Z,13.57,120.519,49.4,5.3,mb,208,44.6,,0.81,us,usp000jfyt,2022-05-03T15:33:28.744Z,"16 km NE of Harrison, Philippines",earthquake,,3.8,,114,reviewed,us,us
2012-03-08T15:30:27.190Z,13.592,120.556,49.5,5.1,mb,166,65,,0.88,us,usp000jfyf,2022-05-03T15:33:26.368Z,"20 km NE of Harrison, Philippines",earthquake,,4.1,,96,reviewed,us,us
2012-03-05T23:06:30.880Z,12.354,123.7,37.3,5.6,mwc,135,48.3,,0.94,us,usp000jfum,2022-05-03T15:32:50.215Z,"5 km ENE of Mobo, Philippines",earthquake,,4.4,,,reviewed,us,gcmt
